name,address,type_of_guns,power_in_kw
Ez4EV Charging Station,"KSRTC Depot, Vikas Bhavan, KSRTC Depot, Vikas Ln, PMG, Thiruvananthapuram, Kerala 695033",CCS,
EESL Charging Station,"FWJ7+C23, Shangumukham, Kannanthura, Thiruvananthapuram, Kerala 695008","CHAdeMO, CCS, Type 2",
